C_PDB,Structural_class,Flexible_class,Docking_case,Binding_affinity,C_resolution,C_chain_PR,C_pro_chain,C_pro_seq_length,C_RNA_chain,C_RNA_seq_length,U_pro_PDB,U_pro_resolution,U_pro_chain,U_pro_seq_length,U_RNA_PDB,U_RNA_resolution,U_RNA_chain,U_RNA_seq_length
2OZB,C,S,UU,yes,2.6,  AB:C,AB,126+239,C,33,2JNB,NMR,A,126,2XEB,NMR,A,18
7P0V,C,S,UU,yes,1.56, A:B,A,90,B,24,7P08,NMR,A,90,8ID2*,1.8,C,24
1JBS,D,R,UU,yes,1.97, A:C,A,142,C,24,1AQZ,1.7,A,142,1Q9A,1.04,A,24
1WSU,D,R,UU,yes,2.3, A:E,A,124,E,14,1LVA,2.12,A,124,2RLU,NMR,A,14
1ZBH,D,R,UU,no,3,  AD:E,AD,224+224,E,14,1ZBU,2.998,AD,224+224,1JU7,NMR,A,14
2BH2,D,R,UU,no,2.15, A:C,A,418,C,30,1UWV,1.95,A,418,1JZX*,3.1,A,30
1F7U,A,S,UB,no,2.2, A:B,A,603,B,75,1BS2,2.75,A,603,,,,
1H3E,A,F,UB,no,2.9,  AA':B,AD,402+405,G,72,1H3F,2,AB,402+405,,,,
1H4S,A,R,UB,no,2.85,  AB:T,AB,464+464,T,66,1HC7,2.43,AB,464+464,,,,
1J1U,A,R,UB,no,1.95,  AA':B,AC,290+284,EI,74+74,1U7D,2.65,AB,291+283,,,,
1N78,A,R,UB,no,2.1, A:C,A,468,C,74,1J09,1.8,A,468,,,,
1QF6,A,R,UB,no,2.9, A:B,A,401,B,75,1EVL,1.55,A,401,,,,
1SER,A,S,UB,no,2.9,  AB:T,AB,372+421,T,56,1SES,2.5,AB,372+421,,,,
1U0B,A,R,UB,yes,2.3, B:A,B,369,A,74,1LI5,2.3,B,369,,,,
1VFG,A,R,UB,no,2.8, B:D,B,338,D,34,4WBY,1.5,A,338,,,,
2AZX,A,R,UB,no,2.8,  AA':C,AF,377+353,L,72,1R6U,2,AB,377+353,,,,
2FK6,A,R,UB,no,2.9, A:R,A,264,R,53,1Y44,2.1,A,264,,,,
3ADB,A,F,UB,yes,2.8, A:C,A,231,C,79,3A4M,1.792,A,231,,,,
3AMT,A,R,UB,no,2.9, A:B,A,346,B,78,3AU7,2.6,A,346,,,,
4YCP,A,F,UB,no,2.55, A:B,A,307,B,62,4BFA,1.65,A,307,,,,
4YVJ,A,R,UB,yes,2.9,  AB:C,AB,236+238,C,71,3AXZ,2.25,AB,236+238,,,,
5HR7,A,R,UB,no,2.4, A:D,A,332,D,69,3RFA,2.05,A,332,,,,
5B63,A,S,UB,yes,3, A:B,A,563,B,63,5YYM,2.2,A,563,,,,
5T8Y,A,R,UB,no,2.653, B:X,B,372,X,5,5D08,1.747,A,372,,,,
5WT1,A,F,UB,no,2.598, A:C,A,332,C,67,5HJI,2.2,A,332,,,,
5ZW4,A,R,UB,no,1.7, A:D,A,206,D,16,5ZW3,2.27,A,206,,,,
7E8O,A,R,UB,yes,2.804,  AB:X,AB,194+190,X,68,7E8K,2.25,AB,194+190,,,,
7K98,A,F,UB,no,2.19,  ABDE:CF,ABDE,267+831+267+831,C,77,7DAW,2.83,ABCD,267+831+267+831,,,,
7MJW,A,S,UB,no,1.4, A:M,A,440,M,12,7MJZ,2.08,A,440,,,,
8H1B,A,S,UB,no,1.55, A:C,A,189,C,17,8H1A,1.44,A,189,,,,
8JOZ,A,R,UB,no,2.22, A:B,A,243,B,79,4HTF,1.6,A,243,,,,
1G1X,B,R,UB,no,2.6,  ABC:DE,ABC,96+88+46,DE,40+44,1CQM,1.65,A,96,,,,
1SDS,B,R,UB,yes,1.8,  C:FF',C,112,FG,15+15,1XBI,1.45,A,112,,,,
2HW8,B,F,UB,no,2.1, A:B,A,220,B,36,1AD2,1.9,A,220,,,,
5WTY,B,S,UB,yes,2.785, A:C,A,529,C,11,5SVD,2.1,B,529,,,,
1MSW,C,F,UB,no,2.1, D:R,D,773,R,10,1ARO,2.8,P,773,,,,
1N35,C,R,UB,no,2.5,  A:BC,A,1256,B,5+8,1MUK,2.5,A,1256,,,,
1Q2R,C,S,UB,no,2.9,  AB:E,AB,342+336,E,19,1R5Y,1.2,AC,342+336,,,,
1WNE,C,R,UB,no,3,  A:BC,A,476,BC,8+5,1U09,1.91,A,476,,,,
1YVP,C,R,UB,yes,2.2,  B:EFH,B,520,EFH,9+7+7,1YVR,1.95,A,520,,,,
1ZBI,C,R,UB,no,1.85,  A:CD,A,132,CD,12+12,1ZBF,1.5,A,132,,,,
2AZ0,C,R,UB,yes,2.6,  AB:CD,AB,70+71,CD,18+18,2B9Z,NMR,AB,70+71,,,,
2BGG,C,R,UB,no,2.2,  A:PQ,A,390,PQ,8+8,1W9H,1.95,A,390,,,,
2EZ6,C,R,UB,no,2.05,  AB:CD,AB,146+145,CD,28+28,1JFZ,2.1,AB,145+146,,,,
2F8S,C,S,UB,no,3,  A:CD,A,675,CD,22+22,1YVU,2.9,A,675,,,,
2GJW,C,R,UB,no,2.85,  AB:EFH,AB,244+244,EFH,17+12+7,1R0V,2,AB,244+244,,,,
2GXB,C,R,UB,no,2.25,  A:EF,A,62,EF,6+6,1QGP,NMR,A,62,,,,
2QUX,C,R,UB,yes,2.44,  AB:C,AB,123+117,C,25,2QUD,1.6,AB,123+117,,,,
2Y8W,C,F,UB,yes,1.8, A:B,A,188,B,19,1WJ9,1.9,A,188,,,,
2ZKO,C,R,UB,yes,1.7,  AB:CD,AB,70+69,CD,21+21,2Z0A,1.85,AB,70+69,,,,
3A6P,C,R,UB,yes,2.92,  AC:DE,AC,942+170,DE,22+24,5YU6,3,AB,942+170,,,,
3BSN,C,S,UB,no,1.8,  A:PT,A,478,PT,8+9,1SH3,2.95,A,233,,,,
3DD2,C,R,UB,yes,1.9, H:B,H,255,B,25,1JOU,1.8,D,249,,,,
3EQT,C,R,UB,yes,2,  AB:CD,AB,117+125,CD,8+8,2W4R,2.6,AB,122+124,,,,
3FTE,C,R,UB,no,3,  A:CD,A,233,C,22,3FTD,1.44,A,68,,,,
3KS8,C,R,UB,yes,2.401,  AB:EF,AB,122+124,EF,18+18,3KS4,2.4,AB,108,,,,
3MOJ,C,R,UB,yes,2.902, B:A,B,68,A,64,2G0C,1.7,A,211+208,,,,
3O3I,C,S,UB,yes,2.801, X:A,X,108,A,14,2L5C,NMR,A,456,,,,
3OIJ,C,S,UB,no,3,  AB:C,AB,211+208,C,5,3OII,1.85,AB,242,,,,
3OL6,C,R,UB,no,2.5,  A:BCD,A,456,BCD,18+14+3,1RA6,2,A,456,,,,
3RW6,C,F,UB,yes,2.3, A:H,A,242,H,61,3RW7,3,A,242,,,,
3ZC0,C,R,UB,no,2.982,  AA'BB'CC'DD':MM',ABCDEFGH,189+189+189+189+189+189+189+189,MN,15+15,3ZC1,3.269,ABCDEFGH,189+189+188+186+188+188+186+186,,,,
4ERD,C,R,UB,yes,2.589,  AB:CD,AB,94+98,CD,22+22,4EYT,2.5,AB,94+98,,,,
4FVU,C,R,UB,no,2.91,  A:BC,A,207,BC,8+8,3Q7C,1.5,A,207,,,,
4IG8,C,S,UB,no,2.7,  A:BC,A,300,BC,18+18,1PX5,1.74,A,300,,,,
4ILL,C,R,UB,no,2.484,  AB:RC,AB,278+278,RC,19+17,4ILR,3.088,AB,278+278,,,,
4ZT0,C,F,UB,yes,2.9, A:B,A,1140,B,72,4CMP,2.62,A,1140,,,,
5ED1,C,S,UB,no,2.77,  A:BC,A,377,BC,22+23,1ZY7,1.7,A,377,,,,
5F5H,C,R,UB,yes,2.23, A:C,A,148,C,21,4QI0,1.94,A,148,,,,
5WTK,C,F,UB,yes,2.651, A:B,A,931,B,40,5WTJ,3.503,A,931,,,,
5ZQ8,C,R,UB,yes,2.18, A:D,A,452,D,11,5XJ1,1.753,A,452,,,,
6D12,C,S,UB,yes,2.205, B:C,B,89,C,38,5KNW,NMR,A,87,,,,
6DCB,C,R,UB,yes,1.998, A:B,A,201,B,36,5UNA,2.55,A,201,,,,
6FQ3,C,S,UB,yes,1.901, A:B,A,390,B,13,6FPT,2.6,A,390,,,,
6SY4,C,S,UB,yes,2.695,  AB:C,AB,187+175,C,37,3ZQI,1.5,AB,187+175,,,,
6PZQ,C,R,UB,yes,2.703,  AB:IJ,AB,157+155,IJ,6+7,6G0Y,2.42,AC,157+155,,,,
6RTI,C,R,UB,no,2.2, A:X,A,681,X,21,2C6C,2,A,681,,,,
6ZDP,C,F,UB,yes,2.85, A:B,A,638,B,67,6ZD6,2.64,A,638,,,,
7KFN,C,S,UB,no,2.5,  AD:BC,AD,367+352,BC,22+22,1ZY7,1.7,AB,367+352,,,,
7KKV,C,R,UB,yes,2, A:B,A,89,B,60,7K9B,1.202,A,89,,,,
7OG0,C,S,UB,yes,2.61,  A:EE',A,483,EB,17+17,8TV8,2.25,A,483,,,,
7OM6,C,R,UB,no,2.18,  A:DF,A,629,DF,6+8,7OM2,2.07,A,629,,,,
7XD8,C,F,UB,no,2.85,  A:BC,A,597,BC,12+9,6KR2,3.06,A,597,,,,
7XWZ,C,S,UB,no,2.25,  A:CD,A,112,CD,7+7,7VNU,1.95,A,112,,,,
7ZLQ,C,R,UB,yes,2.8,  A:DE,A,81,DE,13+13,2MDR,NMR,A,81,,,,
8AF0,C,R,UB,no,2.43,  AB:CD,AB,120+119,CD,19+19,5M9T,2.2,AB,120+119,,,,
1AV6,D,R,UB,no,2.8, A:B,A,289,B,6,1B42,2.2,A,289,,,,
1C9S,D,R,UB,yes,1.9,  L:W1-7,L,63,W,7,2EXT,1.8,A,63,,,,
1CVJ,D,F,UB,yes,2.6, A:M,A,80,M,9,4F25,1.9,A,80,,,,
1G2E,D,R,UB,no,2.3, A:B,A,160,B,10,4EGL,2.9,A,160,,,,
1K8W,D,R,UB,yes,1.85, A:B,A,274,B,22,1R3F,1.85,A,274,,,,
1KQ2,D,R,UB,yes,2.71,  ABHIKM:R,ABHIKM,60+61+62+60+61+61,R,7,1KQ1,1.55,ABHIKM,60+61+62+60+61+61,,,,
1M5O,D,R,UB,no,2.2, C:B,C,87,B,92,1OIA,2.4,A,87,,,,
1M8V,D,R,UB,no,2.6,  AM:O,AM,71+71,O,6,1H64,1.9,AM,71+71,,,,
1M8W,D,R,UB,yes,2.2,  A:CE,A,339,CE,8+8,1M8Z,1.9,A,339,,,,
1UVI,D,R,UB,no,2.15, A:D,A,664,D,4,1HHS,2,A,664,,,,
1WPU,D,R,UB,yes,1.48, A:C,A,147,C,7,1WPV,1.7,A,147,,,,
2A8V,D,S,UB,yes,2.4, B:E,B,114,E,6,1A8V,2,B,114,,,,
2ASB,D,R,UB,yes,1.5, A:B,A,222,B,11,1K0R,1.7,A,222,,,,
2GIC,D,R,UB,no,2.92, A:R,A,420,R,45,2QVJ,2.8,A,420,,,,
2IX1,D,R,UB,yes,2.74, A:B,A,635,B,13,2IX0,2.44,A,635,,,,
2JEA,D,R,UB,yes,2.33,  AB:C,AB,274+234,C,7,2JE6,1.6,AB,274+234,,,,
2JLU,D,S,UB,no,2.04, A:C,A,449,C,7,2JLQ,1.67,A,449,,,,
2PY9,D,R,UB,no,2.56, B:E,B,69,E,12,2JZX,NMR,A,69,,,,
2Q66,D,S,UB,no,1.8, A:X,A,503,X,5,2HHP,1.8,A,503,,,,
2R7R,D,S,UB,no,2.6, A:X,A,1072,X,7,2R7Q,2.9,A,1072,,,,
2XGJ,D,F,UB,yes,2.9, A:C,A,921,C,5,4U4C,2.4,A,921,,,,
2XNR,D,R,UB,yes,1.6, A:C,A,74,C,5,2XNQ,1.3,A,74,,,,
2XZO,D,F,UB,yes,2.395, A:D,A,611,D,7,2XZP,2.72,A,611,,,,
3AEV,D,R,UB,yes,2.8, B:C,B,166,C,11,2E3U,2.3,A,166,,,,
3BX2,D,R,UB,yes,2.84, A:C,A,327,C,9,3BWT,2.69,A,327,,,,
3D2S,D,R,UB,yes,1.7, A:E,A,66,E,6,3D2Q,1.5,A,66,,,,
3MDG,D,R,UB,yes,2.22,  AB:C,AB,193+200,C,6,3BAP,1.85,AC,193+200,,,,
3NMR,D,S,UB,yes,1.85, A:B,A,174,B,6,2DHS,NMR,A,174,,,,
3O8C,D,R,UB,yes,2, A:C,A,645,C,6,3O8B,1.95,A,645,,,,
3PF4,D,R,UB,yes,1.38, B:R,B,66,R,4,1CSP,2.45,A,66,,,,
3QJJ,D,R,UB,no,2.8049, A:Q,A,230,Q,12,3UFC,2.03,X,230,,,,
3RC8,D,R,UB,no,2.9, A:E,A,588,E,6,3RC3,2.08,A,588,,,,
4E78,D,R,UB,no,2.9,  A:PT,A,538,PT,4+4,4E76,2.5,A,538,,,,
4H5P,D,S,UB,yes,2.15,  AB:E,AB,243+243,E,14,3LYF,1.93,AB,243+243,,,,
4HOR,D,S,UB,no,1.861, A:X,A,469,X,5,4HOQ,2.07,A,469,,,,
4J7M,D,R,UB,no,1.7, A:B,A,358,B,5,4J7N,1.5,A,358,,,,
4M59,D,F,UB,yes,2.46,  AB:CD,AB,640+638,CD,14+18,4M57,2.86,AB,640+637,,,,
4MDX,D,S,UB,yes,1.5,  AB:C,AB,114+115,C,8,1NE8,2.1,AD,115+114,,,,
4N2Q,D,R,UB,no,2.8, A:B,A,194,B,5,4ME2,1.6,A,194,,,,
4QU6,D,S,UB,no,1.75, A:B,A,99,B,3,2LMI,NMR,A,99,,,,
5DET,D,S,UB,yes,1.95,  AB:PQ,AB,90+90,PQ,4+5,5CYJ,1.79,AB,90+90,,,,
5EIM,D,R,UB,yes,1.54, A:C,A,154,HI,6+6,5H8A,1.751,A,154,,,,
5ELS,D,S,UB,yes,2.873,  AC:HI,AC,108+113,C,8,5EL3,1.59,AB,108+113,,,,
5EX7,D,R,UB,yes,2.6, A:B,A,272,B,7,1Q7F,1.95,A,272,,,,
5GXH,D,R,UB,yes,1.8, A:B,A,672,B,7,5TEE,1.65,A,672,,,,
5LTA,D,S,UB,yes,2.621, A:E,A,698,E,8,5D0U,2.919,A,698,,,,
5SZE,D,R,UB,yes,1.5, A:C,A,70,C,3,5SZD,1.494,A,70,,,,
5V7C,D,R,UB,yes,2.59, B:C,B,143,C,8,5V87,1.692,A,143,,,,
5W0M,D,R,UB,no,2.298, A:H,A,333,H,4,5W0B,2.614,A,333,,,,
5WWX,D,R,UB,yes,2, A:C,A,78,C,5,5WWZ,2.5,A,78,,,,
5ZSC,D,R,UB,yes,2.2, A:C,A,774,C,4,6IF5,2,A,774,,,,
6A4E,D,R,UB,no,2.45, A:B,A,178,B,2,6A4D,2.19,A,178,,,,
6A6J,D,R,UB,yes,2.255, A:B,A,88,B,5,6LMS,NMR,A,88,,,,
6GC5,D,R,UB,yes,1.9, A:E,A,79,E,5,6GD1,2.01,A,79,,,,
6HAU,D,R,UB,no,1.86,  AB:D,AB,271+273,D,6,6HAT,1.856,AB,271+273,,,,
6I0V,D,R,UB,no,1.851, A:B,A,342,B,5,6I0S,1.9,A,342,,,,
6L1W,D,S,UB,yes,2.194, A:C,A,203,C,6,3U9G,1.801,A,203,,,,
6LLB,D,R,UB,yes,2.6, A:C,A,426,C,6,5HAA,2.904,A,426,,,,
6R9P,D,R,UB,no,2.98, A:B,A,596,B,4,6R9I,3,A,596,,,,
6U9X,D,S,UB,yes,2.6, D:H,D,261,H,4,6NL1,2.297,A,261,,,,
6L5N,D,R,UB,yes,2.242, A:C,A,365,C,7,6L5M,2.7,A,365,,,,
6LT7,D,S,UB,yes,2.7,  AB:C,B,105+110,C,49,6CWX,2.25,AB,105+110,,,,
6U6Y,D,R,UB,yes,2.47,  AD:EH,AD,432+427,EH,4+4,5AO3,3.004,AD,432+427,,,,
6WXY,D,R,UB,yes,2.1,  BC:A,BC,372+372,A,6,6WXW,2.32,AB,372+372,,,,
6ZOT,D,R,UB,no,2.7,  A:C,A,150,C,4,8BS5,2.49,A,150,,,,
7C45,D,F,UB,yes,1.769, A:D,A,288,D,10,7C42,2,A,288,,,,
7DOL,D,R,UB,yes,2.002, A:C,A,563,C,6,7DCY,1.972,A,563,,,,
7K5L,D,R,UB,no,1.38,A:R,A,120,R,3,4LDM,1.85,A,120,,,,
7EIU,D,R,UB,yes,2.349, A:C,A,146,C,6,7EIO,1.895,A,146,,,,
7KL3,D,R,UB,no,1.99, A:B,A,177,B,2,5CZN,1.98,A,177,,,,
7L6T,D,R,UB,yes,1.78, A:C,A,298,C,4,7C2I,2.5,A,298,,,,
7V4G,D,R,UB,yes,2.1, A:D,A,205,D,4,4O61,1.9,A,205,,,,
7VSJ,D,R,UB,no,2.38, A:B,A,150,B,4,6FQ1,1.31,A,150,,,,
7VKI,D,R,UB,yes,1.65, A:B,A,108,B,3,2DHA,NMR,A,108,,,,
7VKL,D,R,UB,no,1.95, A:B,A,157,B,8,6GQE,2.15,A,157,,,,
7Y7Q,D,R,UB,no,2.05,  AB:CED,AB,910+897,CED,10+6+7,2J7N,2.3,AB,910+897,,,,
8DZK,D,R,UB,no,2.1,A:F,A,349,F,4,5K71,2.57,A,349,,,,
8EDJ,D,F,UB,yes,1.83, A:R,A,358,R,6,6P3X,2.402,A,358,,,,
8AXF,D,F,UB,yes,2.54,  ABCD:Q,ABCD,256+255+261+259,Q,42,8AX4,2.28,ABCD,256+255+261+259,,,,
8TG4,D,R,UB,no,1.37, A:C,A,182,C,3,8TG3,1.47,A,182,,,,
2ZM5,A,,BU,no,2.55, A:C,A,306,C,73,,,,,3L0U,3,A,17
3ZJT,A,,BU,no,2.2, A:B,A,820,B,65,,,,,2NQP*,3.5,F,34
6AAX,B,,BU,yes,2.994, A:B,A,290,B,18,,,,,6AAS,NMR,A,18
1HQ1,C,,BU,yes,1.52, A:B,A,76,B,43,,,,,1DUH,2.7,A,43
1JID,C,,BU,no,1.8, A:B,A,114,B,28,,,,,1D4R,2,A,28
2PJP,C,,BU,yes,2.3, A:B,A,121,B,23,,,,,1MFK,NMR,A,23
3BT7,C,,BU,yes,2.43, A:C,A,369,C,17,,,,,1EVV,2,A,17
6HTU,C,,BU,yes,2.888,  ABC:DF,ABC,76+76+65,DF,9+9,,,,,6HU6,1.904,AE,9+9
1LNG,D,,BU,no,2.3, A:B,A,87,B,97,,,,,1Z43,2.6,A,97
2I82,D,,BU,no,2.05, A:E,A,217,E,17,,,,,3L0U,3,A,17
